Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
Zheng Chenlei (Blair Zheng),,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,BlairZheng1,https://twitter.com/BlairZheng1,7
Tang Bo,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Bossebosse84,https://twitter.com/Bossebosse84,215
Wang Cong,,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,bycongwang,https://twitter.com/bycongwang,586
Cao Li,曹利,Anglosphere,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Cao_Li_CHN,https://twitter.com/Cao_Li_CHN,16700
Cao Yi,,MENA,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CaoYi_MFA,https://twitter.com/CaoYi_MFA,132900
Chinese Embassy in Pakistan,中国驻巴基斯坦使馆,Pakistan,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CathayPak,https://twitter.com/CathayPak,161000
Chinese Consulate General in Belfast,中国驻贝尔法斯特总领事馆,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CCGBelfast,https://twitter.com/CCGBelfast,7342
Chinese Consulate General in Jeddah,,Saudi Arabia,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CCGJeddah,https://twitter.com/CCGJeddah,3268
CCTV+,,China,Chinese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CCTV_Plus,https://twitter.com/CCTV_Plus,35300
CCTV News,央视新闻,China,Chinese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cctvxinwen,https://twitter.com/cctvxinwen,1340
Visual China,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CD_visual,https://twitter.com/CD_visual,998
China Daily Africa,,African Union,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDAfricaNews,https://twitter.com/CDAfricaNews,3385
China Watch,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDchinawatch,https://twitter.com/CDchinawatch,563
China Daily Hong Kong,中国日报香港版,Hong Kong,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDHKedition,https://twitter.com/CDHKedition,3717
CD Opinion,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CdOpinion,https://twitter.com/CdOpinion,707
China Daily Sci-tech,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDscitech,https://twitter.com/CDscitech,164
Cen Ziyuan (Jasmine Cen),,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CenJasmine,https://twitter.com/CenJasmine,262
Chinese Consulate General in Zurich,,Switzerland,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGChinaInZurich,https://twitter.com/CGChinaInZurich,8972
Huang Ping,黄屏,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGHuangPingNY,https://twitter.com/CGHuangPingNY,7556
Zhang Meifang,,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGMeifangZhang,https://twitter.com/CGMeifangZhang,160000
China Consulate in Dubai,,UAE,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGPRCinDubai,https://twitter.com/CGPRCinDubai,3993
