Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
Chinese Embassy in Bahrain,中国驻巴林大使馆,Bahrain,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbBahrain,https://twitter.com/ChinaEmbBahrain,1501
Chinese Embassy in Rep. of Congo (Brazzaville),中华人民共和国驻刚果共和国大使馆官,Rep. of Congo,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chinaembcongobz,https://twitter.com/chinaembcongobz,3161
Chinese Embassy in Croatia,,Croatia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbCroatia,https://twitter.com/ChinaEmbCroatia,1625
Chinese Embassy in Belgium,,Belgium,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmBE,https://twitter.com/ChinaEmBE,1257
Chinese Embassy in Eritrea,,Eritrea,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbEritrea,https://twitter.com/ChinaEmbEritrea,5816
Chinese Embassy in Spain,,Spain,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbEsp,https://twitter.com/ChinaEmbEsp,27300
Chinese Embassy in Germany,中国驻德国大使馆,Germany,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbGermany,https://twitter.com/ChinaEmbGermany,7946
Chinese Embassy in Grenada,,Grenada,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbGrenada,https://twitter.com/ChinaEmbGrenada,6585
Chinese Embassy in Switzerland,,Switzerland,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbinCH,https://twitter.com/ChinaEmbinCH,7930
Chinese Embassy in Ghana,中国驻加纳大使馆,Ghana,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbinGH,https://twitter.com/ChinaEmbinGH,5437
Chinese Embassy in Mauritania,中国驻毛里塔尼亚使馆,Mauritania,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbinMR,https://twitter.com/ChinaEmbinMR,3033
Chinese Embassy in New Zealand,,New Zealand,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbInNZ,https://twitter.com/ChinaEmbInNZ,1074
Chinese Embassy in Rwanda,,Rwanda,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbinRW,https://twitter.com/ChinaEmbinRW,2316
Chinese Embassy in Ireland,,Ireland,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbIreland,https://twitter.com/ChinaEmbIreland,5150
Zhao Xing,赵星,Afghanistan,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbKabul,https://twitter.com/ChinaEmbKabul,27400
Chinese Embassy in Kazakhstan,,Kazakhstan,Russian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbKazakh,https://twitter.com/ChinaEmbKazakh,3126
Chinese Embassy in Saudi Arabia,,Saudi Arabia,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbKSA,https://twitter.com/ChinaEmbKSA,17000
Chinese Embassy in Kuwait,,Kuwait,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbKuwait,https://twitter.com/ChinaEmbKuwait,3651
Chinese Embassy in Lesotho,,Lesotho,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbLesotho,https://twitter.com/ChinaEmbLesotho,1240
Chinese Embassy in Malta,,Malta,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbMalta,https://twitter.com/ChinaEmbMalta,2356
Chinese Embassy in Philippines,,Philippines,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Chinaembmanila,https://twitter.com/Chinaembmanila,14600
Chinese Embassy in Namibia,,Namibia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbNamibia,https://twitter.com/ChinaEmbNamibia,1890
Chinese Embassy in Netherlands,,Netherlands,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbNL,https://twitter.com/ChinaEmbNL,5805
Chinese Embassy in Canada,中国驻加拿大大使馆,Canada,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbOttawa,https://twitter.com/ChinaEmbOttawa,15500
Chinese Embassy in Peru,中国驻秘鲁使馆,Peru,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbPeru,https://twitter.com/ChinaEmbPeru,11900
Chinese Embassy in Poland,,Poland,Polish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbPoland,https://twitter.com/ChinaEmbPoland,6868
Chinese Embassy in Portugal,中国驻葡萄牙大使馆,Portugal,Portuguese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbPt,https://twitter.com/ChinaEmbPt,2896
Chinese Embassy in Sri Lanka,中国驻斯里兰卡大使馆,Sri Lanka,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbSL,https://twitter.com/ChinaEmbSL,25600
Chinese Embassy in Slovakia,中国驻斯洛伐克使馆,Slovakia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbSVK,https://twitter.com/ChinaEmbSVK,5439
Chinese Embassy in Slovenia,,Slovenia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmSlovenia,https://twitter.com/ChinaEmSlovenia,5058
Chinese Embassy in EU,,EU,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEUMission,https://twitter.com/ChinaEUMission,25900
China.org.cn (French),,la Francophonie,French,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,chinafrance,https://twitter.com/chinafrance,23600
Chinese Embassy in Denmark,,Denmark,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaInDenmark,https://twitter.com/ChinaInDenmark,2128
Qian Minjian,,Lebanon,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinainLebanon,https://twitter.com/ChinainLebanon,12700
Chinese Consulate General in Vancouver,,Canada,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinainVan,https://twitter.com/ChinainVan,2168
Chinese Embassy in Iraq,,Iraq,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaIraq,https://twitter.com/ChinaIraq,13200
Chinese Embassy in United Nations (NYC),,UN,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Chinamission2un,https://twitter.com/Chinamission2un,141500
Chinese Embassy in Switzerland (UN Missions),,Switzerland,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaMissionGva,https://twitter.com/ChinaMissionGva,5316
China.org.cn (English),中国网,Anglosphere,English,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,chinaorgcn,https://twitter.com/chinaorgcn,"1,000,000"
China Plus Podcasts,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,ChinaPlusPods,https://twitter.com/ChinaPlusPods,7272
People's Daily China Science,,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,ChinaScience,https://twitter.com/ChinaScience,"2,000,000"
State Council Information Office (SCIO),国务院新闻办公室,Anglosphere,English,State Council Information Office (SCIO),国务院新闻办公室,State Council,中华人民共和国国务院,chinascio,https://twitter.com/chinascio,55200
Wang Xiaojian,,India,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaSpox_India,https://twitter.com/ChinaSpox_India,12900
China Today,今日中国,Anglosphere,English,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,chinatoday_com,https://twitter.com/ChinaToday_com,471
China Youth Daily,中国青年报,China,Chinese,China Youth Daily Press,中国青年报社,Central Committee of the Communist Youth League,共青团中央,ChinaYouthOL,https://twitter.com/ChinaYouthOL,147
Chinese Embassy in Mali,中国驻马里大使馆,Mali,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Chine_au_Mali,https://twitter.com/Chine_au_Mali,4741
Chinese Embassy in Guinea,中华人民共和国驻几内亚共和国大使馆,Guinea,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chine_guinee,https://twitter.com/chine_guinee,5545
Chinese Embassy in Sénégal,,Senegal,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineAmbassade,https://twitter.com/ChineAmbassade,1481
Chinese Embassy in Djibouti,,Djibouti,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineAmbDjibout,https://twitter.com/ChineAmbDjibout,3205
Chinese Embassy in Morocco,,Morocco,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineAmbMaroc,https://twitter.com/ChineAmbMaroc,3360
Liu Jin,刘晋,Gambia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseAmb_GM,https://twitter.com/ChineseAmb_GM,1617
Kong Xianhua,,India,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseCGMumbai,https://twitter.com/ChineseCGMumbai,1873
Chinese Consulate General in Melbourne,,Australia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseCon_Mel,https://twitter.com/ChineseCon_Mel,2881
Chinese Embassy in Fiji,,Fiji,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmb_FJ,https://twitter.com/ChineseEmb_FJ,3216
Chinese Embassy in Papua New Guinea,,Papua New Guinea,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmb_PNG,https://twitter.com/ChineseEmb_PNG,6257
Chinese Embassy in Uganda,,Uganda,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmb_Uga,https://twitter.com/ChineseEmb_Uga,10800
Chinese Embassy in Thailand,,Thailand,Thai,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chineseembassy1,https://twitter.com/chineseembassy1,977
Chinese Embassy in Jordan,中国驻约旦使馆,Jordan,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseembassyJ,https://twitter.com/ChineseembassyJ,5365
Chinese Embassy in Hungary,,Hungary,Hungarian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinHU,https://twitter.com/ChineseEmbinHU,6367
Chinese Embassy in Montenegro,,Montenegro,Serbian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinMNE,https://twitter.com/ChineseEmbinMNE,1514
Chinese Embassy in Russia,中国驻俄罗斯大使馆,Russia,Russian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinRus,https://twitter.com/ChineseEmbinRus,27200
Chinese Embassy in United Kingdom (UK),中国驻英国大使馆,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinUK,https://twitter.com/ChineseEmbinUK,43700
Chinese Embassy in United States,,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinUS,https://twitter.com/ChineseEmbinUS,118100
Chinese Embassy in Kenya,,Kenya,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbKenya,https://twitter.com/ChineseEmbKenya,15800
Chinese Embassy in Yemen,中国驻也门大使馆,Yemen,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbtoYEM,https://twitter.com/ChineseEmbtoYEM,62700
Chinese Embassy in Tanzania,,Tanzania,Swahili,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbTZ,https://twitter.com/ChineseEmbTZ,15800
Chinese Embassy in Estonia,,Estonia,Estonian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEstonia,https://twitter.com/ChineseEstonia,1409
Chinese Embassy in Liberia,,Liberia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseLiberia,https://twitter.com/ChineseLiberia,6373
Chinese Embassy in Somalia,,Somalia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseSomalia,https://twitter.com/ChineseSomalia,12200
Chinese Embassy in Zimbabwe,,Zimbabwe,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseZimbabwe,https://twitter.com/ChineseZimbabwe,17200
Chloé Zhou,,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,chloezhou21,https://twitter.com/chloezhou21,897
Chinese Embassy in Egypt,中国驻埃及大使馆,Egypt,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHN_EGY,https://twitter.com/CHN_EGY,3092
Chinese Consulate General in Osaka,中華人民共和国駐大阪総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsul_osaka,https://twitter.com/ChnConsul_osaka,21400
Chinese Consulate General in Fukuoka,中華人民共和国駐福岡総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateFuk,https://twitter.com/ChnConsulateFuk,2959
Chinese Consulate General in Johannesburg,,South Africa,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateJhb,https://twitter.com/ChnConsulateJhb,1324
Chinese Consulate General in Nagasaki,中華人民共和国駐長崎総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateNag,https://twitter.com/ChnConsulateNag,992
Chinese Consulate General in Nagoya,中華人民共和国駐名古屋総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateNgo,https://twitter.com/ChnConsulateNgo,3339
Chinese Consulate General in Niigata,中華人民共和国駐新潟総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateNgt,https://twitter.com/ChnConsulateNgt,3130
Chinese Embassy in Japan,中華人民共和国駐日本国大使館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnEmbassy_jp,https://twitter.com/ChnEmbassy_jp,102400
Chinese Embassy in Sudan,‎中国驻苏丹大使馆,Sudan,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHNembinSudan,https://twitter.com/CHNembinSudan,6098
Chinese Embassy in Suriname,,Suriname,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHNEmbSuriname,https://twitter.com/CHNEmbSuriname,1261
Liu Yuyin,,UN,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnMission,https://twitter.com/ChnMission,1755
China International Development Cooperation Agency (CIDCA),,Anglosphere,English,China International Development Cooperation Agency (CIDCA),国家国际发展合作署,State Council,中华人民共和国国务院,cidcaofficial,https://twitter.com/cidcaofficial,37900
CRI Italian (Radio Cina Internazionale),,Italy,Italian,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cinitalia,https://twitter.com/cinitalia,2228
Yangtze View World,长江新闻号,Hubei,Chinese,Hubei Radio & Television Station (HBTV),湖北广播电视台,Hubei Provincial People's Government,湖北省人民政府,cjxwh_hbtv,https://twitter.com/cjxwh_hbtv,1153
CGTN Closer to China,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,closertochina,https://twitter.com/closertochina,8795
China Content Center,,China,Chinese,"Shanghai Guanchazhe Information Technology Co.,Ltd",上海观察者信息技术有限公司,Shanghai Academy of Social Sciences (SASS),上海社会科学院,CNContentCenter,https://twitter.com/CNContentCenter,43200
China News Service (CNS) Agency,中國新聞社,China,Chinese,China News Service (CNS),北京中新网信息科技有限公司,United Front Work Department,中共中央统一战线工作部,CNS1952,https://twitter.com/CNS1952,494700
CRI Polish,,Poland,Polish,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CoChwila,https://twitter.com/CoChwila,567
Xu Zhike (Coco Studio),,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CocoStudio4,https://twitter.com/CocoStudio4,982
Chinese Consulate General in Strasbourg,,France,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,consulat_de,https://twitter.com/consulat_de,2457
Chinese Consulate General in San Francisco,,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ConsulateSan,https://twitter.com/ConsulateSan,4221
Chinese Consulate General in Barcelona,中国驻巴塞罗那总领馆,Spain,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ConsulChinaBcn,https://twitter.com/ConsulChinaBcn,4495
Chinese Consulate General in Rio de Janeiro,,Brazil,Portuguese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ConsulChinaRJ,https://twitter.com/ConsulChinaRJ,2474
CMG Hindi,,India,Hindi,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cri_hindi,https://twitter.com/cri_hindi,52
CRI Türkçe,,Türkiye,Turkish,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRI_Turkish,https://twitter.com/CRI_Turkish,85200
CRI Arabic,,MENA,Arabic,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,criarabic,https://twitter.com/criarabic,22200
CRI Breaking News,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIbrk,https://twitter.com/CRIbrk,437
CRI Français,,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CriFrancais,https://twitter.com/CriFrancais,72900
CRI German,,Germany,German,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIGerman1,https://twitter.com/CRIGerman1,54
CRI Greek,,Greece,Greek,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,crigreek,https://twitter.com/crigreek,224
CRI Hausa,,Nigeria,Hausa,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIHausaRadio,https://twitter.com/CRIHausaRadio,1275
CRI Japanese,CRI日本語,Japan,Japanese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIjpn,https://twitter.com/CRIjpn,23300
CRI Pashto,,Afghanistan,Pashto,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cripashto,https://twitter.com/cripashto,59
CRI Sinhala,,Sri Lanka,Sinhalese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIsinhala,https://twitter.com/CRIsinhala,126
CRI Urdu,,Pakistan,Urdu,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,criurdu,https://twitter.com/criurdu,82
China State Construction (CSCEC),中国建筑集团有限公司,Anglosphere,English,China State Construction Engineering (CSCEC),中国建筑集团有限公司,State Council,中华人民共和国国务院,CSCECNEWS,https://twitter.com/CSCECNEWS,128900
Zhu Danni (Danni Zhu),,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Danni_Zhu131,https://twitter.com/Danni_Zhu131,21
CRI Mongolian,,Mongolia,Mongolian,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,delkhiintsag,https://twitter.com/delkhiintsag,0
Wang Di'er (Deer Wang),王迪迩,Anglosphere,English,Xinhua News Agency,新华社,State Council,中华人民共和国国务院,dier0806,https://twitter.com/dier0806,258
Ding Heng,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,DingHeng6,https://twitter.com/DingHeng6,67
DIOC,国际组织和会议部,China,Chinese,Department of International Organizations and Conferences (DIOC),外交部国际组织和会议部,Ministry of Foreign Affairs,中华人民共和国外交部,DIOC_MFA_China,https://twitter.com/DIOC_MFA_China,707
Discover Binhai,,Anglosphere,English,Department of Culture and Tourism of Tianjin Binhai District,天津市滨海区文化和旅游厅,People's Government of Tianjin Binhai New Area,天津滨海新区人民政府,discoverbinhai,https://twitter.com/discoverbinhai,5112
Discover Guangxi,,Anglosphere,English,Department of Culture and Tourism of Guangxi Zhuang Autonomous Region,广西壮族自治区文化和旅游厅,People's Government of Guangxi Zhuang Autonomous Region,广西壮族自治区人民政府,DiscoverGuangxi,https://twitter.com/DiscoverGuangxi,10700
Discover Jilin,,Anglosphere,English,Department of Culture and Tourism of Jilin Province,吉林省文化和旅游厅,Jilin Provincial People's Government,吉林省人民政府,DiscoverJilin,https://twitter.com/DiscoverJilin,3627
Discover Nanjing,,Anglosphere,English,Department of Culture and Tourism of Nanjing City,南京市文化和旅游厅,Nanjing Municipal People's Government,南京市人民政府,DiscoverNanjing,https://twitter.com/DiscoverNanjing,133100
Discover Zhejiang,,Anglosphere,English,Department of Culture and Tourism of Zhejiang Province,浙江省文化和旅游厅,People's Government of Zhejiang Province,浙江省人民政府,discoverzj,https://twitter.com/discoverzj,80000
Li Dongning,李东宁,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Dongning,https://twitter.com/Dongning,336
FM98 Dosti Channel,,Pakistan,Urdu,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,DostiFM98,https://twitter.com/DostiFM98,49800
DotDot News,點新聞,Hong Kong,English,Hong Kong Ta Kung Wen Wei Media Group (HKTKWW),香港大公文匯傳媒集團有限公司,Hong Kong Liaison Office of the Central Government ,香港中联办,dotdotnews111,https://twitter.com/dotdotnews111,6253
Zhao Qinghua,,Switzerland,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Dr_ZhaoQinghua,https://twitter.com/Dr_ZhaoQinghua,1412
Dragon TV,中国东方卫视,Shanghai,Chinese,Shanghai Media Group (SMG),看东方(上海)传媒有限公司,Shanghai Municipal Committee,中共上海市委,dragontv,https://twitter.com/dragontv,189
Zhao Yanbo,,Botswana,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,DrZhaoYanbo,https://twitter.com/DrZhaoYanbo,2733
Zhao Yongchen,,Grenada,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,DrZhaoyongchen,https://twitter.com/DrZhaoyongchen,4458
Du Ping,杜萍,Anglosphere,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,dupingCHN,https://twitter.com/dupingCHN,2376
Discover Xinjiang,,Xinjiang,English,"Beijing Jiandanshiji Culture Media Co., Ltd",北京简单世纪文化传媒有限公司,unknown,,DXinjiang,https://twitter.com/DXinjiang,52600
China News Service Net (eCNS),中国新闻网,China,Chinese,China News Service (CNS),北京中新网信息科技有限公司,United Front Work Department,中共中央统一战线工作部,Echinanews,https://twitter.com/Echinanews,645100
Chinese Embassy in Malawi (Economic Counsellor),,Malawi,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,EconomicMalawi,https://twitter.com/EconomicMalawi,96
Economic Daily,经济日报,Anglosphere,English,Economic Daily Newspaper Group,经济日报报业集团,State Council,中华人民共和国国务院,EDNewsChina,https://twitter.com/EDNewsChina,6405
Chinese Embassy in Brazil,,Brazil,Portuguese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,EmbaixadaChina,https://twitter.com/EmbaixadaChina,119900
Chinese Embassy in Ecuador,,Ecuador,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,EmbajadaChinaEc,https://twitter.com/EmbajadaChinaEc,8261
Chinese Embassy in El Salvador,中华人民共和国驻萨尔瓦多大使馆,El Salvador,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,EmbajadaChinaSV,https://twitter.com/EmbajadaChinaSV,25400
Wang Gang,,Uruguay,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,embajadorcn_uy,https://twitter.com/embajadorcn_uy,4711
Chinese Embassy in Tonga,中国驻汤加大使馆,Tonga,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,embassy_chinese,https://twitter.com/embassy_chinese,2533
